Team 1,Score 1,Team 2,Score 2,Elo Rating 1,Elo Rating 2,New Elo Rating 1,New Elo Rating 2,Week,Year
KC,34,HOU,20,1500.0,1500.0,1524.7,1475.3,1,2020
SEA,38,ATL,25,1500.0,1500.0,1524.7,1475.3,1,2020
BUF,27,NYJ,17,1500.0,1500.0,1524.7,1475.3,1,2020
CHI,27,DET,23,1500.0,1500.0,1524.7,1475.3,1,2020
GB,43,MIN,34,1500.0,1500.0,1524.7,1475.3,1,2020
NE,21,MIA,11,1500.0,1500.0,1524.7,1475.3,1,2020
WSH,27,PHI,17,1500.0,1500.0,1524.7,1475.3,1,2020
LV,34,CAR,30,1500.0,1500.0,1524.7,1475.3,1,2020
JAX,27,IND,20,1500.0,1500.0,1524.7,1475.3,1,2020
BAL,38,CLE,6,1500.0,1500.0,1524.7,1475.3,1,2020
LAC,16,CIN,13,1500.0,1500.0,1524.7,1475.3,1,2020
NO,34,TB,23,1500.0,1500.0,1524.7,1475.3,1,2020
ARI,24,SF,20,1500.0,1500.0,1524.7,1475.3,1,2020
LAR,20,DAL,17,1500.0,1500.0,1524.7,1475.3,1,2020
PIT,26,NYG,16,1500.0,1500.0,1524.7,1475.3,1,2020
TEN,16,DEN,14,1500.0,1500.0,1524.7,1475.3,1,2020
CLE,35,CIN,30,1475.3,1475.3,1499.7,1450.8999999999999,2,2020
CHI,17,NYG,13,1524.7,1475.3,1545.6538865501484,1454.3461134498516,2,2020
DAL,40,ATL,39,1475.3,1475.3,1499.7,1450.8999999999999,2,2020
GB,42,DET,21,1524.7,1475.3,1545.6538865501484,1454.3461134498516,2,2020
TEN,33,JAX,30,1524.7,1524.7,1549.1000000000001,1500.3,2,2020
IND,28,MIN,11,1475.3,1475.3,1499.7,1450.8999999999999,2,2020
BUF,31,MIA,28,1524.7,1475.3,1545.6538865501484,1454.3461134498516,2,2020
SF,31,NYJ,13,1475.3,1475.3,1499.7,1450.8999999999999,2,2020
LAR,37,PHI,19,1524.7,1475.3,1545.6538865501484,1454.3461134498516,2,2020
PIT,26,DEN,21,1524.7,1475.3,1545.6538865501484,1454.3461134498516,2,2020
TB,31,CAR,17,1475.3,1475.3,1499.7,1450.8999999999999,2,2020
ARI,30,WSH,15,1524.7,1524.7,1549.1000000000001,1500.3,2,2020
KC,23,LAC,20,1524.7,1524.7,1549.1000000000001,1500.3,2,2020
BAL,33,HOU,16,1524.7,1475.3,1545.6538865501484,1454.3461134498516,2,2020
SEA,35,NE,30,1524.7,1524.7,1549.1000000000001,1500.3,2,2020
LV,34,NO,24,1524.7,1524.7,1549.1000000000001,1500.3,2,2020
MIA,31,JAX,13,1454.3461134498516,1500.3,1481.6152629281846,1473.030850521667,3,2020
CHI,30,ATL,26,1545.6538865501484,1450.8999999999999,1563.3394948076943,1433.214391742454,3,2020
BUF,35,LAR,32,1545.6538865501484,1545.6538865501484,1569.7538865501483,1521.5538865501485,3,2020
CLE,34,WSH,20,1499.7,1500.3,1523.841619184182,1476.158380815818,3,2020
TEN,31,MIN,30,1549.1000000000001,1450.8999999999999,1566.5640929493272,1433.4359070506728,3,2020
NE,36,LV,20,1500.3,1549.1000000000001,1527.7629442488694,1521.6370557511307,3,2020
SF,36,NYG,9,1499.7,1454.3461134498516,1520.671759306814,1433.3743541430376,3,2020
CIN,23,PHI,23,1450.8999999999999,1454.3461134498516,1427.0390331162255,1478.207080333626,3,2020
PIT,28,HOU,21,1545.6538865501484,1454.3461134498516,1563.5621827464424,1436.4378172535576,3,2020
IND,36,NYJ,7,1499.7,1450.8999999999999,1520.4370557511306,1430.1629442488693,3,2020
CAR,21,LAC,16,1450.8999999999999,1500.3,1478.4037432025173,1472.7962567974826,3,2020
TB,28,DEN,10,1499.7,1454.3461134498516,1520.671759306814,1433.3743541430376,3,2020
